date,latitude,longitude,planting_prob,irrigation_prob,planting_recommendation,irrigation_recommendation
2015-08-02,40.33,-87.0,0.5239596270875321,1.0,Hold,Plan irrigation soon
2015-08-03,40.33,-87.0,0.1962309582714865,1.0,Hold,Plan irrigation soon
2015-08-04,40.33,-87.0,0.0717263850829047,1.0,Hold,Plan irrigation soon
2015-08-05,40.33,-87.0,0.0672131317269656,1.0,Hold,Plan irrigation soon
2015-08-10,40.33,-87.0,0.000303539909413,1.0,Hold,Plan irrigation soon
2015-08-11,40.33,-87.0,0.0007395827770837,1.0,Hold,Plan irrigation soon
2015-08-13,40.33,-87.0,0.0002911784892421,1.0,Hold,Plan irrigation soon
2015-08-14,40.33,-87.0,5.4466956203043886e-05,1.0,Hold,Plan irrigation soon
2015-08-16,40.33,-87.0,0.0002203476066285,1.0,Hold,Plan irrigation soon
2015-09-02,40.33,-87.0,1.1595050171642789e-05,1.0,Hold,Plan irrigation soon
2015-09-03,40.33,-87.0,3.381908509568232e-05,1.0,Hold,Plan irrigation soon
2015-09-04,40.33,-87.0,1.0484819991215331e-05,1.0,Hold,Plan irrigation soon
2015-09-05,40.33,-87.0,1.083152999405088e-05,1.0,Hold,Plan irrigation soon
2015-09-06,40.33,-87.0,7.88327427032498e-05,1.0,Hold,Plan irrigation soon
2015-09-07,40.33,-87.0,5.0609447062954056e-05,1.0,Hold,Plan irrigation soon
2016-05-30,40.33,-87.0,0.0317559485386976,1.0,Hold,Plan irrigation soon
2016-05-31,40.33,-87.0,0.0011509246163535,1.0,Hold,Plan irrigation soon
2016-06-02,40.33,-87.0,0.0261668585626306,1.0,Hold,Plan irrigation soon
2016-06-03,40.33,-87.0,0.0056006384497553,1.0,Hold,Plan irrigation soon
2016-07-31,40.33,-87.0,7.332213639266942e-05,1.0,Hold,Plan irrigation soon
2016-08-01,40.33,-87.0,0.0001745527513884,1.0,Hold,Plan irrigation soon
2016-08-02,40.33,-87.0,3.796022533450381e-05,1.0,Hold,Plan irrigation soon
2016-08-03,40.33,-87.0,4.429188435915673e-05,1.0,Hold,Plan irrigation soon
2016-08-04,40.33,-87.0,0.0002979694820044,1.0,Hold,Plan irrigation soon
2016-08-05,40.33,-87.0,0.000135332538507,1.0,Hold,Plan irrigation soon
2016-08-06,40.33,-87.0,0.0001578225638271,1.0,Hold,Plan irrigation soon
2016-08-07,40.33,-87.0,0.0014275235903492,1.0,Hold,Plan irrigation soon
2016-08-08,40.33,-87.0,0.0034878855366555,1.0,Hold,Plan irrigation soon
2016-08-09,40.33,-87.0,0.0002625370505332,1.0,Hold,Plan irrigation soon
2016-08-10,40.33,-87.0,0.0003816692962099,1.0,Hold,Plan irrigation soon
2016-08-11,40.33,-87.0,0.0032859929323608,1.0,Hold,Plan irrigation soon
2016-08-12,40.33,-87.0,0.0004536510487101,1.0,Hold,Plan irrigation soon
2016-08-13,40.33,-87.0,1.4249880953357951e-05,1.0,Hold,Plan irrigation soon
2016-09-24,40.33,-87.0,1.364618158116863e-07,1.0,Hold,Plan irrigation soon
2016-09-25,40.33,-87.0,6.412245657820225e-08,1.0,Hold,Plan irrigation soon
2017-08-17,40.33,-87.0,4.233224765894349e-11,1.0,Hold,Plan irrigation soon
2017-08-18,40.33,-87.0,1.139381360371304e-09,1.0,Hold,Plan irrigation soon
2017-08-19,40.33,-87.0,3.833779594498502e-09,1.0,Hold,Plan irrigation soon
2017-08-20,40.33,-87.0,1.7302162230908927e-09,1.0,Hold,Plan irrigation soon
2017-09-26,40.33,-87.0,2.0503167140657127e-09,1.0,Hold,Plan irrigation soon
2017-09-27,40.33,-87.0,4.5642483682582526e-10,1.0,Hold,Plan irrigation soon
2017-09-28,40.33,-87.0,4.892634669929922e-09,1.0,Hold,Plan irrigation soon
2018-05-28,40.33,-87.0,7.747705843559567e-09,1.0,Hold,Plan irrigation soon
2018-05-29,40.33,-87.0,1.4483826322228808e-08,1.0,Hold,Plan irrigation soon
